,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2014-01-02 21:00:00,,0.0,,-0.00886191279455,,,0.0,100000.0,0.0,0.0,-0.03,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-02 21:00:00+00:00,2014-01,2014-01-02 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,1,[],0.03
2014-01-03 21:00:00,0.0,0.0,0.0,-0.00919192697196,0.0957372028621,0.0,0.0,100000.0,0.0,0.0,-0.0301,0.0,0.762316809253,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-03 21:00:00+00:00,2014-01,2014-01-03 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,2,[],0.0301
2014-01-06 21:00:00,0.0,0.0,0.0,-0.0116806061456,0.0703435016306,0.0,0.0,100000.0,0.0,0.0,-0.0298,0.0,0.880617830883,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-06 21:00:00+00:00,2014-01,2014-01-06 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,3,[],0.0298
2014-01-07 21:00:00,0.0,0.0,0.0,-0.00566988037237,0.0978705048029,0.0,0.0,100000.0,0.0,0.0,-0.0296,0.0,0.228087634137,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-07 21:00:00+00:00,2014-01,2014-01-07 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,4,[],0.0296
2014-01-08 21:00:00,0.0,0.0,0.0,-0.00588088634694,0.0851811607747,0.0,0.0,100000.0,0.0,0.0,-0.0301,0.0,0.217562012416,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-08 21:00:00+00:00,2014-01,2014-01-08 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,5,[],0.0301
2014-01-09 21:00:00,0.0,0.0,0.0,-0.00553462533437,0.0768189829901,0.0,0.0,100000.0,0.0,0.0,-0.0297,0.0,0.18904112933,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-09 21:00:00+00:00,2014-01,2014-01-09 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,6,[],0.0297
2014-01-10 21:00:00,0.0,0.0,0.0,-0.00324070530017,0.0727408860793,0.0,0.0,100000.0,0.0,0.0,-0.0288,0.0,0.0992056887602,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-10 21:00:00+00:00,2014-01,2014-01-10 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,7,[],0.0288
2014-01-13 21:00:00,0.0,0.0,0.0,-0.0157761660265,0.0957275571872,0.0,0.0,100000.0,0.0,0.0,-0.0284,0.0,0.326650213954,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-13 21:00:00+00:00,2014-01,2014-01-13 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,8,[],0.0284
2014-01-14 21:00:00,0.0,0.0,0.0,-0.00512886022038,0.112236560904,0.0,0.0,100000.0,0.0,0.0,-0.0288,0.0,0.0776390263978,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-14 21:00:00+00:00,2014-01,2014-01-14 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,9,[],0.0288
2014-01-15 21:00:00,0.0,0.0,0.0,1.08312234448e-05,0.109637902826,0.0,0.0,100000.0,0.0,0.0,-0.029,0.0,-0.0032700897353,0.0,0.0,0,0.0,0.0,0.0,[],2014-01-15 21:00:00+00:00,2014-01,2014-01-15 14:31:00+00:00,0.0,100000.0,[],0.0,,0,0,0,,100000.0,0.0,0.0,10,[],0.029
